COD_VIA;VIA_SQC;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;FECHA_DE_ALTA;FECHA_DE_BAJA;VIA_ESTADO
829;1;CALLE;DE;ANTONIORROBLES;ANTONIORROBLES;28/02/1990;;V
830;1;PASAJE;DE;SANTA FELICIDAD;SANTA FELICIDAD;28/02/1990;;V
831;1;AVENIDA;DEL;PLANETARIO;PLANETARIO;28/02/1990;;V
832;1;CALLE;DE;MIGUEL DE UNAMUNO;MIGUEL DE UNAMUNO;28/02/1990;;V
833;1;GLORIETA;DE;FRANCISCO DE LAS CABEZAS;FRANCISCO DE LAS CABEZAS;28/02/1990;;V
834;1;GLORIETA;DE;RICARDO VELAZQUEZ BOSCO;RICARDO VELÁZQUEZ BOSCO;28/02/1990;;V
836;2;CALLE;DEL;MARQUESADO DE SANTA MARTA;MARQUESADO DE SANTA MARTA;28/07/1994;;V
836;1;CALLE;DE;MANUEL TERAN;MANUEL TERÁN;28/02/1990;28/07/1994;V
837;1;CALLE;DE;JUAN RIZI;JUAN RIZI;28/02/1990;;V
838;1;CALLE;DE;AGUETOL;AGUETOL;28/02/1990;;V
839;1;CALLE;DE;ARTEMISA;ARTEMISA;28/02/1990;;V
840;1;CALLE;DE;ARIADNA;ARIADNA;28/02/1990;;V
841;1;TRAVESÍA;DE;MARIA ZAMBRANO;MARÍA ZAMBRANO;29/03/1990;;V
842;1;CALLE;DE;VALCOTOS;VALCOTOS;29/03/1990;;V
843;1;CALLE;DE;VALDEZCARAY;VALDEZCARAY;29/03/1990;;V
844;1;CALLE;DE;VALDELINARES;VALDELINARES;29/03/1990;;V
845;1;CALLE;DE LA;ISLA DE TAGOMAGO;ISLA DE TAGOMAGO;29/03/1990;;V
846;1;CALLE;DE LA;ISLA DE ALEGRANZA;ISLA DE ALEGRANZA;29/03/1990;;V
847;1;CALLE;DE;HOCES DE LA HERMIDA;HOCES DE LA HERMIDA;29/03/1990;;V
848;1;CALLE;DE;VALLTER;VALLTER;29/03/1990;;V
849;1;TRAVESÍA;DE;GANIMEDES;GANÍMEDES;29/03/1990;;V
850;1;CALLE;DE;VALDESQUI;VALDESQUÍ;29/03/1990;;V
851;1;CALLE;DE;JOSE ORTUÑO PONCE;JOSÉ ORTUÑO PONCE;29/03/1990;;V
852;2;CALLE;DE;HERENCIA;HERENCIA;30/11/1990;;V
852;1;CALLE;DE;CONSUELO RUBIO;CONSUELO RUBIO;29/03/1990;30/11/1990;V
853;2;CALLE;DE;HINOJOSA DEL DUQUE;HINOJOSA DEL DUQUE;30/11/1990;;V
853;1;CALLE;DE;GREGORIO LOPEZ MADERA;GREGORIO LÓPEZ MADERA;29/03/1990;30/11/1990;V
854;2;CALLE;DE;JOSE RAMON VIZCAINO;JOSÉ RAMÓN VIZCAÍNO;30/11/1990;;V
854;1;CALLE;DE;LUCAS MALLADA;LUCAS MALLADA;29/03/1990;30/11/1990;V
