AÑO;MES;DISTRITO;FUEGOS;DAÑOS EN CONSTRUCCION;SALVAMENTOS Y RESCATES;DAÑOS POR AGUA;INCIDENTES DIVERSOS;SALIDAS SIN INTERVENCION;SERVICIOS VARIOS;TOTAL
2023;marzo;FUERA TERMINO MUNICIPAL;0;0;1;0;0;2;3;6
2023;febrero;CENTRO;25;17;41;20;33;24;9;169
2023;febrero;ARGANZUELA;14;1;13;15;12;8;4;67
2023;febrero;RETIRO;9;4;19;4;15;9;2;62
2023;febrero;SALAMANCA;20;8;28;10;23;5;7;101
2023;febrero;CHAMARTIN;14;5;20;5;18;7;6;75
2023;febrero;TETUAN;12;7;26;9;16;8;1;79
2023;febrero;CHAMBERI;15;4;22;11;20;6;8;86
2023;febrero;FUENCARRAL;14;2;20;7;12;12;9;76
2023;febrero;MONCLOA;9;3;11;6;9;11;8;57
2023;febrero;LATINA;26;6;27;5;12;16;4;96
2023;febrero;CARABANCHEL;27;6;29;9;16;14;4;105
2023;febrero;USERA;16;2;16;7;17;3;5;66
2023;febrero;PUENTE VALLECAS;34;2;23;13;22;9;36;139
2023;febrero;MORATALAZ;12;0;11;1;5;5;0;34
2023;febrero;CIUDAD LINEAL;25;6;28;12;14;6;4;95
2023;febrero;HORTALEZA;13;6;16;6;14;5;4;64
2023;febrero;VILLAVERDE;18;2;17;9;6;5;9;66
2023;febrero;VILLA DE VALLECAS;24;2;15;4;14;7;4;70
2023;febrero;VICALVARO;8;1;11;1;9;2;5;37
2023;febrero;SAN BLAS;23;4;19;3;16;9;3;77
2023;febrero;BARAJAS;2;0;4;2;7;5;3;23
2023;febrero;FUERA TERMINO MUNICIPAL;2;0;1;0;2;2;1;8
2023;enero;CENTRO;35;35;52;21;38;61;3;245
2023;enero;ARGANZUELA;15;13;28;6;25;25;3;115
2023;enero;RETIRO;4;7;12;6;8;15;6;58
2023;enero;SALAMANCA;8;9;23;8;20;28;7;103
2023;enero;CHAMARTIN;17;11;21;4;17;20;10;100
2023;enero;TETUAN;16;9;25;13;14;24;4;105
2023;enero;CHAMBERI;7;14;28;15;16;24;3;107
2023;enero;FUENCARRAL;21;6;24;11;28;23;4;117
2023;enero;MONCLOA;9;13;14;6;32;24;8;106
2023;enero;LATINA;20;5;32;13;26;36;11;143
2023;enero;CARABANCHEL;21;11;31;4;19;33;2;121
2023;enero;USERA;23;7;13;4;21;19;6;93
2023;enero;PUENTE VALLECAS;33;11;41;6;38;32;41;202
2023;enero;MORATALAZ;6;0;13;6;5;15;1;46
2023;enero;CIUDAD LINEAL;11;5;29;10;33;35;3;126
2023;enero;HORTALEZA;9;8;15;7;24;17;0;80
2023;enero;VILLAVERDE;17;4;14;2;16;17;3;73
2023;enero;VILLA DE VALLECAS;15;7;19;5;7;22;2;77
2023;enero;VICALVARO;9;5;8;3;8;6;2;41
2023;enero;SAN BLAS;16;3;25;4;10;20;1;79
2023;enero;BARAJAS;1;2;4;2;15;13;8;45
2023;enero;FUERA DEL TÉRMINO MUNICIPAL;0;0;0;0;2;1;0;3
