COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;COD_VIA_COMIENZA;CLASE_COMIENZA;PARTICULA_COMIENZA;VIA_NOMBRE_COMIENZA;COD_VIA_TERMINA;CLASE_TERMINA;PARTICULA_TERMINA;VIA_NOMBRE_TERMINA
00666625;CALLE;DE;SAN ESTANISLAO;00439900;AVENIDA;DE;LOGROÑO;694350;CALLE;DE;SANTA EDUVIGIS
00666640;CALLE;DE;SAN ESTEBAN DE GORMAZ;00631200;CALLE;DE;RAMONET;104550;CALLE;DE;BERLANGA DE DUERO
00666650;CALLE;DE;SAN EUDALDO;00389850;CALLE;DEL;JARDÍN DE LA DUQUESA;99000001;LUGAR;;FONDO DE SACO
00666700;CALLE;DE;SAN EUGENIO;00081600;CALLE;DE;ATOCHA;695900;CALLE;DE;SANTA ISABEL
00666800;CALLE;DE;SAN EULOGIO;00680100;CALLE;DE;SAN NARCISO;671300;CALLE;DE;SAN HILARIO
00666900;CALLE;DE;SAN EUSEBIO;00677500;CALLE;DE;SAN MANUEL;787050;CALLE;DE;VILLALCAMPO
00667000;CALLE;DE;SAN EUSTAQUIO;00681100;CALLE;DE;SAN NORBERTO;31000409;CALLE;DE;LAGUNA DALGA
00667100;CALLE;DE;SAN EVARISTO;00687900;GLORIETA;DE;SAN VÍCTOR;268400;CALLE;DE;ENRIQUE TROMPETA
00667200;CALLE;DE;SAN EZEQUIEL;00632200;AVENIDA;;REAL DE PINTO;31001281;CALLE;DE;LA ACEBEDA
00667301;CALLE;DE;SAN FACUNDO;00700400;CALLE;DE;SANTIAGO ALIÓ;347500;CALLE;DEL;GUADIATO
00667400;CALLE;DE;SAN FAUSTINO;00111200;CALLE;DE;BOLTAÑA;291350;CALLE;DE;FENELÓN
00667500;CALLE;DE;SAN FELICES;00500800;CALLE;DE;MELCHOR CANO;693500;CALLE;DE;SANTA COMBA
00667600;CALLE;DE;SAN FELIPE;00114600;CALLE;DE;BRAVO MURILLO;373400;CALLE;DE LA;INFANTA MERCEDES
00667700;CALLE;DE;SAN FELIPE NERI;00497800;CALLE;;MAYOR;361200;PLAZA;DE LOS;HERRADORES
00667800;CALLE;DE;SAN FELIÚ DE GUIXOLS;00018600;AVENIDA;DE LA;ALBUFERA;602200;CALLE;DE;PONT DE MOLINS
00667900;CALLE;DE;SAN FÉLIX;00268400;CALLE;DE;ENRIQUE TROMPETA;24000;CALLE;DE;ALEJANDRO SAINT AUBIN
00668000;AVENIDA;DE;SAN FERMÍN;00045700;AVENIDA;DE;ANDALUCÍA;583100;CAMINO;DE;PERALES
00000982;PLAZA;DE;SAN FERMÍN;00668000;AVENIDA;DE;SAN FERMÍN;278500;CALLE;DE LA;ESTAFETA
00668150;CALLE;DE;SAN FERNANDO;00750950;CALLE;DEL;ALCALDE JUAN DE MATA SEVILLANO;31000562;CALLE;DE;MAICARA
00668400;PASAJE;DE;SAN FERNANDO;00760800;CALLE;DE;URÍA;99000001;LUGAR;;FONDO DE SACO
00668450;PLAZA;DE;SAN FERNANDO;00348500;AVENIDA;DE LA;GUARDIA;675950;CALLE;DE;SAN LÁZARO
00613200;PUENTE;DE;SAN FERNANDO;00563600;CARRETERA;DE;EL PARDO;556450;AVENIDA;DEL;PADRE HUIDOBRO
00668100;TRAVESIA;DE;SAN FERNANDO;00599100;CALLE;DE LAS;PLATERÍAS;253900;PLAZA;DEL;DUQUE DE PASTRANA
00668350;CARRETERA;DE;SAN FERNANDO A MEJORADA;31000097;AUTOVIA;;M-45;99000003;LUGAR;;LÍMITE TÉRMINO MUNICIPAL
00668500;CALLE;DE;SAN FERNANDO DEL JARAMA;00310200;CALLE;DE;FRANCISCO SILVELA;623900;CALLE;DE;QUINTILIANO
00668600;CALLE;DE;SAN FIDEL;00073300;CALLE;DE;ARRIAGA;344700;CALLE;DE;GREGORIO DONAS
00668650;CALLE;DE;SAN FILEMÓN;00123900;CALLE;DE;CALAHORRA;123900;CALLE;DE;CALAHORRA
00668675;CALLEJON;DE;SAN FILEMÓN;00123900;CALLE;DE;CALAHORRA;668650;CALLE;DE;SAN FILEMÓN
00668700;CALLE;DE;SAN FILIBERTO;00697200;PASEO;DE;SANTA MARÍA DE LA CABEZA;466100;CALLE;DE;MANUEL NOYA
00905916;TRAVESIA;DE;SAN FILIBERTO;00697200;PASEO;DE;SANTA MARÍA DE LA CABEZA;472000;CALLE;DE;MARCELO USERA
00668800;CALLE;DE;SAN FLORENCIO;00224800;PLAZA;DEL;CUELGAMUROS;720400;CALLE;DE LA;SIERRA TOLEDANA
00668900;CALLE;DE;SAN FORTUNATO;00732100;CALLE;DE;TACONERA;583100;CAMINO;DE;PERALES
00669000;CARRERA;DE;SAN FRANCISCO;00614800;PLAZA;DE LA;PUERTA DE MOROS;669100;PLAZA;DE;SAN FRANCISCO
00669100;PLAZA;DE;SAN FRANCISCO;00669050;AVENIDA;DE LA;GRAN VÍA DE SAN FRANCISCO;88200;CALLE;DE;BAILÉN
00669400;PASEO;DE;SAN FRANCISCO DE SALES;00219500;PLAZA;DEL;CRISTO REY;554550;AVENIDA;DE;PABLO IGLESIAS
00669300;CALLE;DE;SAN FRANCISCO EL GRANDE;00472000;CALLE;DE;MARCELO USERA;289200;CALLE;DE;FELIPE CASTRO
00669500;CALLE;DE;SAN FROILÁN;00703400;CALLE;DEL;SANTUARIO;703400;CALLE;DEL;SANTUARIO
00669550;CALLE;DE;SAN FRUTOS;00609700;CALLE;DEL;PRIMERO DE OCTUBRE;556100;AVENIDA;DEL;PADRE CIPRIANO
00669600;CALLE;DE;SAN FULGENCIO;00058100;CALLE;DE;ANTONIO GISTÁU;546900;COSTANILLA;DE LOS;OLIVOS
00669700;PARTICULAR;DE;SAN GABRIEL;00159800;CALLE;DE;CEA BERMÚDEZ;669400;PASEO;DE;SAN FRANCISCO DE SALES
00669800;CALLE;DE;SAN GALO;00468400;AVENIDA;DEL;MANZANARES;270500;PASEO;DE LA;ERMITA DEL SANTO
00669900;CALLE;DE;SAN GELASIO;00676000;CALLE;DE;SAN LEANDRO;556100;AVENIDA;DEL;PADRE CIPRIANO
